Nr	Enhet	Kurskod	Version	Faststalld	benamning	Enhetsnamn	creator
1975	670	EX0577	1	2008-11-26	Examensarbete i Biologi - D30	Institutionen för husdjursgenetik	hgen
1976	670	EX0578	1	2008-11-26	Examensarbete i Biologi - E30	Institutionen för husdjursgenetik	hgen
1977	500	EX0579	1	2009-05-15	Självständigt arbete i lantbruksvetenskap	Institutionen för växtproduktionsekologi	vpe
1978	565	EX0580	1	2009-06-01	Självständigt arbete i energisystem	Institutionen för energi och teknik	et
1979	510	EX0581	1	2009-06-01	Magisteruppsats - företagsekonomi	Institutionen för ekonomi	ekon
1980	510	EX0582	1	2009-06-01	Magisteruppsats - nationalekonomi	Institutionen för ekonomi	ekon
1981	435	EX0583	1	2007-09-01	Självständigt arbete i markvetenskap E	Institutionen för mark och miljö	mark
1982	251	EX0584	1	2009-06-23	Examensarbete i Biologi vid institutionen för vilt, fisk och miljö	Institutionen för vilt, fisk och miljö	vfm
1983	565	EX0585	1	2009-06-22	Självständigt arbete i skogsvetenskap  C	Institutionen för energi och teknik	et
1984	565	EX0586	1	2009-06-22	Independent project/degree project  in Forest Science	Institutionen för energi och teknik	et
1985	241	EX0587	1	2009-08-19	Examensarbete i biologi,  Inst för Skogens ekologi och skötsel,	Institutionen för skogens ekologi och skötsel	seksko
1986	595	EX0588	1	2009-06-03	Självständigt arbete i landskapsarkitektur	Institutionen för stad och land	sol
1987	595	EX0589	1	2009-06-03	Självständigt arbete i landskapsplanering	Institutionen för stad och land	sol
1988	280	EX0590	1	2009-09-01	Självständigt arbete i Miljövetenskap inom Entreprenörskolan	Institutionen för vatten och miljö	ma
1989	280	EX0591	1	2009-09-07	Självständigt arbete i biologi C	Institutionen för vatten och miljö	ma
1990	241	EX0592	1	2009-09-22	Kandidatarbete i skogsvetenskap	Institutionen för skogens ekologi och skötsel	seksko
1991	300	EX0593	1	2009-09-22	Kandidatarbete i skogsvetenskap med företagsekonomisk inriktning	Institutionen för skogsekonomi	sekon
1992	650	EX0594	1	2009-10-07	Examensarbete i Husdjursvetenskap - E15	Institutionen för husdjurens utfodring och vård	huv
1993	251	EX0595	1	2009-10-13	Examensarbete i Biologi vid institutionen för vilt, fisk och miljö	Institutionen för vilt, fisk och miljö	vfm
1994	280	EX0596	1	2009-10-09	Independent project  in Biology - Master’s thesis	Institutionen för vatten och miljö	ma
1995	880	EX0597	1	2009-10-09	Examensarbete i biologi C30, 30hp	Institutionen för husdjurens miljö och hälsa	hmh
1996	636	EX0598	1	2009-05-20	Självständigt arbete i landskapsplanering A1E	Landskapsarkitektur	ltv
1997	260	EX0599	1	2009-11-09	Examensarbete i Skogshushållning vid inst för skoglig resurshushållning	Institutionen för skoglig resurshushållning	srh
1998	638	EX0602	1	2009-09-16	Landskapsarkitekturens miljöpsykologi - självständigt arbete	Institutionen för människa och samhälle	ltv
1999	330	EX0614	1	2010-11-03	Bachelor thesis in Biology at the dept of Forest Genetics and Plant Physiology	Institutionen för skoglig genetik och växtfysiologi	genfys
2000	330	EX0615	1	2010-11-03	Bachelor thesis in Forest Managment at the dept of Forest Genetics and Plant Physiology	Institutionen för skoglig genetik och växtfysiologi	genfys
2001	638	EX0616	1	2009-09-16	Landskapsarkitekturens miljöpsykologi - självständigt arbete	Institutionen för människa och samhälle	ltv
2002	635	EX0617	1	2009-11-04	Examensarbete för lantmästarprogrammet inom djurbiologi	Lantbrukets byggnadsteknik	ltv
2003	635	EX0618	1	2009-11-04	Examensarbete för lantmästarprogrammet inom företagsekonomi	Lantbrukets byggnadsteknik	ltv
2004	643	EX0619	1	2009-11-04	Examensarbete för lantmästarprogrammet inom lantbruksvetenskap	Institutionen för biosystem och teknologi	ltv
2005	635	EX0620	1	2009-11-04	Examensarbete för lantmästarprogrammet inom teknologi	Lantbrukets byggnadsteknik	ltv
2006	635	EX0621	1	2009-11-04	Examensarbete för lantmästarprogrammet inom växtbiologi	Lantbrukets byggnadsteknik	ltv
2007	210	EX0622	1	2009-11-17	Examensarbete i Biologi vid SLU-Skogsmästarskolan	Skogsmästarskolan	sms
2008	210	EX0623	1	2009-11-17	Kandidatarbete i biologi	Skogsmästarskolan	sms
2009	210	EX0624	1	2009-11-17	Kandidatarbete i Skogshushållning	Skogsmästarskolan	sms
2010	638	EX0625	1	2009-11-12	Självständigt arbete i hållbar stadsutveckling	Institutionen för människa och samhälle	ltv
2011	260	EX0626	1	2009-11-19	Examensarbete i Miljöanalys vid inst för skoglig resurshushållning	Institutionen för skoglig resurshushållning	srh
2012	260	EX0627	1	2009-11-19	Examensarbete i Miljövetenskap vid inst för skoglig resurshushållning	Institutionen för skoglig resurshushållning	srh
2013	260	EX0628	1	2009-11-19	Examensarbete i Skogshushållning vid inst för skoglig resurshushållning	Institutionen för skoglig resurshushållning	srh
2014	295	EX0629	1	2009-11-19	Examensarbete i Skogshushållning vid inst för sydsvensk skogsvetenskap	Institutionen för sydsvensk skogsvetenskap	ess
2015	295	EX0630	1	2009-11-19	Examensarbete i Skogshushållning vid inst för sydsvensk skogsvetenskap	Institutionen för sydsvensk skogsvetenskap	ess
2016	295	EX0631	1	2009-11-19	Master thesis in Forest Management	Institutionen för sydsvensk skogsvetenskap	ess
2017	251	EX0632	1	2009-11-19	Examensarbete i Biologi vid institutionen för vilt, fisk och miljö	Institutionen för vilt, fisk och miljö	vfm
2018	251	EX0633	1	2009-11-19	Master degree thesis in Biology at the dept of Wildlife, Fish, and Environmental Studies	Institutionen för vilt, fisk och miljö	vfm
2019	251	EX0633	2	2013-10-30	Master degree thesis in Biology at the dept of Wildlife, Fish, and Environmental Studies	Institutionen för vilt, fisk och miljö	vfm
2020	330	EX0634	1	2009-11-19	Examensarbete i Biologi vid inst för skoglig genetik och växtfysiologi	Institutionen för skoglig genetik och växtfysiologi	genfys
2021	330	EX0635	1	2009-11-19	Examensarbete i Biologi vid inst för skoglig genetik och växtfysiologi	Institutionen för skoglig genetik och växtfysiologi	genfys
2022	330	EX0636	1	2009-11-19	Examensarbete i Skogshushållning vid inst för skoglig genetik och växtfysiologi	Institutionen för skoglig genetik och växtfysiologi	genfys
2023	300	EX0637	1	2009-11-19	Examensarbete i Forest Science vid inst för skogsekonomi	Institutionen för skogsekonomi	sekon
2024	300	EX0638	1	2009-11-19	Examensarbete i Företagsekonomi vid inst för skogsekonomi	Institutionen för skogsekonomi	sekon
2025	300	EX0639	1	2009-11-19	Examensarbete i Företagsekonomi vid inst för skogsekonomi	Institutionen för skogsekonomi	sekon
2026	300	EX0640	1	2009-11-19	Examensarbete i Skogshushållning vid inst för skogsekonomi	Institutionen för skogsekonomi	sekon
2027	241	EX0641	1	2009-11-19	Examensarbete i Biologi vid inst för skogens ekologi och skötsel	Institutionen för skogens ekologi och skötsel	seksko
2028	241	EX0642	1	2009-11-19	Examensarbete i Biologi vid inst för skogens ekologi och skötsel	Institutionen för skogens ekologi och skötsel	seksko
2029	241	EX0643	1	2009-11-19	Examensarbete i Skogshushållning vid inst för skogens ekologi och skötsel	Institutionen för skogens ekologi och skötsel	seksko
2030	241	EX0644	1	2009-11-19	Examensarbete i Skogshushållning vid inst för skogens ekologi och skötsel	Institutionen för skogens ekologi och skötsel	seksko
2031	241	EX0645	1	2009-11-19	Examensarbete i Skogshushållning, inst för Skogens ekologi och skötsel	Institutionen för skogens ekologi och skötsel	seksko
2032	300	EX0646	1	2009-11-19	Examensarbete i Företagsekonomi vid inst för skogens produkter	Institutionen för skogsekonomi	sekon
2033	231	EX0647	1	2009-11-19	Examensarbete i Företagsekonomi vid inst för skogens produkter	Institutionen för skogens produkter	sprod
2034	713	EX0648	1	2009-11-30	Examensarbete i biologi, inst. f. biomedicin och folkhälsovetenskap	Institutionen för biomedicin och veterinär folkhälsovetenskap	bvf
2035	644	EX0649	1	2009-12-02	Kandidatexamensarbete i landskapsarkitektur	Institutionen för landskapsarkitektur, planering och förvaltning	ltv
2036	644	EX0650	1	2009-12-02	Kandidatexamensarbete i landskapsplanering	Institutionen för landskapsarkitektur, planering och förvaltning	ltv
2037	644	EX0651	1	2009-12-02	Magisterexamensarbete i landskapsplanering	Institutionen för landskapsarkitektur, planering och förvaltning	ltv
2038	644	EX0652	1	2009-12-02	Kandidatarbete i trädgårdsdesign	Institutionen för landskapsarkitektur, planering och förvaltning	ltv
2039	650	EX0653	1	2009-12-04	Examensarbete i Husdjursvetenskap - E45	Institutionen för husdjurens utfodring och vård	huv
2040	650	EX0654	1	2009-12-04	Examensarbete i Husdjursvetenskap - E60	Institutionen för husdjurens utfodring och vård	huv
2041	540	EX0655	1	2009-12-18	Degree project in Animal Science E30	Institutionen för norrländsk jordbruksvetenskap	njv
2042	540	EX0656	1	2009-12-18	Examensarbete i husdjursvetenskap C15	Institutionen för norrländsk jordbruksvetenskap	njv
2043	540	EX0657	1	2009-12-18	Examensarbete i Husdjursvetenskap D30	Institutionen för norrländsk jordbruksvetenskap	njv
2044	595	EX0658	1	2010-01-11	Master Thesis in Integrated Water Resource Management	Institutionen för stad och land	sol
2045	880	EX0659	1	2009-04-20	Examensarbete i Biologi	Institutionen för husdjurens miljö och hälsa	hmh
2046	300	EX0660	1	2010-01-27	Master thesis in Forest Management at the dept. of Forest products	Institutionen för skogsekonomi	sekon
2047	231	EX0661	1	2010-02-02	Kandidatarbete i skogshushållning med företagsekonomisk inriktning	Institutionen för skogens produkter	sprod
2048	295	EX0662	1	2010-02-02	Kandidatarbete i skogshushållning	Institutionen för sydsvensk skogsvetenskap	ess
2049	510	EX0663	1	2010-01-28	Självständigt arbete i företagsekonomi G1E	Institutionen för ekonomi	ekon
2050	280	EX0664	1	2010-02-09	Independent project in Environmental Science	Institutionen för vatten och miljö	ma
2051	280	EX0664	2	2016-01-19	Independent project in Environmental Science	Institutionen för vatten och miljö	ma
2052	565	EX0665	1	2010-02-18	Självständigt arbete i skogsvetenskap - kandidatarbete	Institutionen för energi och teknik	et
2053	565	EX0666	1	2010-02-18	Independent proejct in Forest Science - bachelor project	Institutionen för energi och teknik	et
2054	565	EX0667	1	2010-02-18	Självständigt arbete i teknologi - kandidatarbete	Institutionen för energi och teknik	et
2055	425	EX0668	1	2010-02-18	Självständigt arbete i kemi - kandidatarbete	Institutionen för molekylära vetenskaper	molsci
2056	425	EX0669	1	2010-02-18	Självständigt arbete i livsmedelsvetenskap - kandidatarbete	Institutionen för molekylära vetenskaper	molsci
2057	595	EX0681	1	2007-11-06	Master thesis in Rural Development and Natural Resource Management	Institutionen för stad och land	sol
2058	595	EX0682	1	2007-11-06	Master Thesis in Integrated Water Resource Management	Institutionen för stad och land	sol
2059	231	EX0687	1	2011-01-12	Kandidatarbete i Företagsekonomi	Institutionen för skogens produkter	sprod
2060	280	EX0688	1	2010-02-18	Självständigt arbete i miljövetenskap - kandidatarbete	Institutionen för vatten och miljö	ma
2061	280	EX0689	1	2010-02-18	Självständigt arbete i biologi - kandidatarbete	Institutionen för vatten och miljö	ma
2062	435	EX0690	1	2010-02-18	Självständigt arbete i markvetenskap - kandidatarbete	Institutionen för mark och miljö	mark
2063	435	EX0691	1	2010-02-16	Självständigt arbete i markvetenskap (G2E)	Institutionen för mark och miljö	mark
2064	715	EX0692	1	2008-11-26	Examensarbete i Husdjursvetenskap - E	Institutionen för kliniska vetenskaper	kv
2065	712	EX0693	1	2010-03-24	Examensarbete i Biologi - E30	Institutionen för anatomi, fysiologi och biokemi	afb
2066	712	EX0694	1	2010-03-31	Examensarbete i Biologi - C15	Institutionen för anatomi, fysiologi och biokemi	afb
2067	712	EX0695	1	2010-03-31	Examensarbete i Biologi - D30	Institutionen för anatomi, fysiologi och biokemi	afb
2068	712	EX0696	1	2010-03-31	Examensarbete i Biologi - E30	Institutionen för anatomi, fysiologi och biokemi	afb
2069	435	EX0697	1	2010-03-26	Självständigt arbete i markvetenskap - magisterarbete	Institutionen för mark och miljö	mark
2070	435	EX0698	1	2010-03-26	Självständigt arbete i markvetenskap inom Entreprenörskolan	Institutionen för mark och miljö	mark
2071	210	EX0699	1	2010-03-02	Master thesis in Forest Science at the School for Forest Engineers	Skogsmästarskolan	sms
2072	713	EX0700	1	2008-06-10	Självständigt arbete i veterinärmedicin	Institutionen för biomedicin och veterinär folkhälsovetenskap	bvf
2073	713	EX0700	2	2014-09-08	Självständigt arbete i veterinärmedicin	Institutionen för biomedicin och veterinär folkhälsovetenskap	bvf
2074	510	EX0701	1	2010-03-24	Independent Project in Business Administration - Master´s thesis	Institutionen för ekonomi	ekon
2075	880	EX0702	1	2010-11-09	Examensarbete i Djuromvårdnad	Institutionen för husdjurens miljö och hälsa	hmh
2076	880	EX0702	2	2012-10-16	Examensarbete i Djuromvårdnad	Institutionen för husdjurens miljö och hälsa	hmh
2077	210	EX0703	1	2011-03-08	Examensarbete i Skogshushållning vid Skogsmästarskolan	Skogsmästarskolan	sms
2078	880	EX0704	1	2011-03-28	Degree project in Biology - HMH - G2E	Institutionen för husdjurens miljö och hälsa	hmh
2079	241	EX0705	1	2011-04-11	Examensarbete i Biologi vid inst för skogens ekologi och skötsel	Institutionen för skogens ekologi och skötsel	seksko
2080	241	EX0706	1	2011-04-11	Examensarbete i Skogshushållning vid inst. för skogens ekologi och skötsel	Institutionen för skogens ekologi och skötsel	seksko
2081	260	EX0707	1	2011-04-11	Examensarbete i Skogshushållning vid inst. för skoglig resurshushållning	Institutionen för skoglig resurshushållning	srh
2082	251	EX0708	1	2011-04-11	Master degree thesis in Biology at the dept of Wildlife, Fish, and Environmental Studies	Institutionen för vilt, fisk och miljö	vfm
2083	295	EX0709	1	2011-04-11	Examensarbete i Skogshushållning vid inst. för sydsvensk skogsvetenskap	Institutionen för sydsvensk skogsvetenskap	ess
2084	295	EX0710	1	2011-04-11	Examensarbete i Biologi vid inst. för sydsvensk skogsvetenskap	Institutionen för sydsvensk skogsvetenskap	ess
2085	241	EX0711	1	2011-04-11	Examensarbete i Markvetenskap vid inst för skogens ekologi och skötsel	Institutionen för skogens ekologi och skötsel	seksko
2086	670	EX0712	1	2009-12-04	Examensarbete i Husdjursvetenskap - E 45 hp	Institutionen för husdjursgenetik	hgen
2087	670	EX0713	1	2009-12-04	Examensarbete i Husdjursvetenskap - E60, 60 hp	Institutionen för husdjursgenetik	hgen
2088	712	EX0714	1	2011-05-17	Självständigt arbete i ridkonst	Institutionen för anatomi, fysiologi och biokemi	afb
2089	713	EX0715	1	2011-06-20	Degree Project in Animal Science, BVF, A2E	Institutionen för biomedicin och veterinär folkhälsovetenskap	bvf
2090	713	EX0716	1	2011-06-20	Examensarbete i husdjursvetenskap, inst. f. biomedicin och folkhälsovetenskap	Institutionen för biomedicin och veterinär folkhälsovetenskap	bvf
2091	643	EX0717	1	2011-05-20	Självständigt arbete i biologi - magisterarbete	Institutionen för biosystem och teknologi	ltv
2092	880	EX0718	1	2011-06-30	Degree Project in Animal Science - HMH - A2E	Institutionen för husdjurens miljö och hälsa	hmh
2093	880	EX0719	1	2011-08-22	Degree Project in Animal Science - HMH - A2E	Institutionen för husdjurens miljö och hälsa	hmh
2094	545	EX0720	1	2011-08-24	Master thesis in Technology at the Unit of Biomass Technology and Chemistry	Institutionen för skogens biomaterial och teknologi	sbt
2095	545	EX0721	1	2011-08-24	Master thesis in Forest Management at the Unit of Biomass Technology and Chemistry	Institutionen för skogens biomaterial och teknologi	sbt
2096	595	EX0722	1	2011-09-06	Independent Project/Degree Project in Landscape Architecture	Institutionen för stad och land	sol
2097	713	EX0723	1	2011-09-12	Degree Project in Biology - BVF - A2E	Institutionen för biomedicin och veterinär folkhälsovetenskap	bvf
2098	565	EX0724	1	2011-09-15	Examensarbete i energisystem	Institutionen för energi och teknik	et
2099	565	EX0724	2	2016-12-06	Examensarbete i energisystem	Institutionen för energi och teknik	et
2100	565	EX0724	3	2017-12-08	Examensarbete i energisystem	Institutionen för energi och teknik	et
2101	565	EX0724	4	2017-12-08	Examensarbete i energisystem	Institutionen för energi och teknik	et
2102	595	EX0725	1	2011-10-19	Projekt i landskapsarkitektur	Institutionen för stad och land	sol
2103	595	EX0726	1	2011-10-19	Projekt i landskapsplanering	Institutionen för stad och land	sol
2104	425	EX0727	1	2011-10-19	Självständigt arbete i livsmedelsvetenskap  - magisterarbete	Institutionen för molekylära vetenskaper	molsci
2105	425	EX0727	2	2018-09-12	Självständigt arbete i livsmedelsvetenskap  - magisterarbete	Institutionen för molekylära vetenskaper	molsci
2106	435	EX0728	1	2011-10-19	Självständigt arbete i markvetenskap - magisterarbete	Institutionen för mark och miljö	mark
